starttime	seconds	ctime	dtime	ttime	wait
Fri Aug 09 09:11:42 2024	1723187502	0	1392	1392	1245
Fri Aug 09 09:11:30 2024	1723187490	0	1394	1394	1314
Fri Aug 09 09:11:46 2024	1723187506	1	1394	1394	847
Fri Aug 09 09:11:48 2024	1723187508	0	1395	1395	1389
Fri Aug 09 09:11:50 2024	1723187510	0	1398	1398	368
Fri Aug 09 09:11:33 2024	1723187493	0	1400	1400	922
Fri Aug 09 09:11:36 2024	1723187496	0	1401	1401	1161
Fri Aug 09 09:11:50 2024	1723187510	0	1402	1402	834
Fri Aug 09 09:11:32 2024	1723187492	0	1402	1402	1392
Fri Aug 09 09:11:48 2024	1723187508	0	1403	1404	1234
Fri Aug 09 09:11:35 2024	1723187495	0	1404	1404	1389
Fri Aug 09 09:11:30 2024	1723187490	0	1405	1405	1224
Fri Aug 09 09:11:34 2024	1723187494	0	1405	1406	1282
Fri Aug 09 09:11:50 2024	1723187510	0	1406	1406	1203
Fri Aug 09 09:11:37 2024	1723187497	0	1406	1406	1019
Fri Aug 09 09:11:29 2024	1723187489	0	1407	1407	1187
Fri Aug 09 09:11:32 2024	1723187492	1	1408	1409	902
Fri Aug 09 09:11:50 2024	1723187510	0	1411	1411	771
